lemma,pos1,anxiety
ensure,v,-1
guarantee,v,-0.9384712732
provide,v,-0.911138872
consistent,a,-0.8802251709
assure,v,-0.8707066658
secure,v,-0.8697139642
enable,v,-0.8014773942
enhance,v,-0.7832815754
solid,a,-0.7506319143
achieve,v,-0.7326157153
accordance,n,-0.7302556007
deliver,v,-0.7281021615
restore,v,-0.7270814101
commitment,n,-0.7201169662
equitable,a,-0.7110781932
stable,a,-0.7079687309
full,a,-0.70767169
satisfactory,a,-0.7058349828
framework,n,-0.695909304
transparent,a,-0.6949776741
reliable,a,-0.6890201638
strengthen,v,-0.6880544812
implement,v,-0.6802207471
offer,v,-0.676212797
compliance,n,-0.6705602398
forward,r,-0.6609447923
effective,a,-0.6608051506
sustainable,a,-0.6597665598
fair,a,-0.6592070018
uphold,v,-0.6585286815
reaffirm,v,-0.6577159761
fulfill,v,-0.6557663639
maintain,v,-0.6515455937
efficient,a,-0.6405470379
appropriate,a,-0.6354283552
access,n,-0.634098264
promise,v,-0.631692397
spirit,n,-0.6308025392
enforceable,a,-0.6273073733
satisfy,v,-0.6256866341
objective,n,-0.6256322692
fulfil,v,-0.6241091991
robust,a,-0.6230105973
goal,n,-0.6193299511
necessary,a,-0.6180405217
adequate,a,-0.6170332549
safeguard,v,-0.6164031038
balanced,a,-0.6154296102
speedy,a,-0.614062076
enjoy,v,-0.6126936754
clean,a,-0.6114833527
retain,v,-0.6107627625
dignified,a,-0.6097464889
fully,r,-0.6073276916
embody,v,-0.6068853718
complement,v,-0.6062767851
benefit,v,-0.6018320676
complementary,a,-0.6008670064
accessible,a,-0.5962273696
compatible,a,-0.5958851277
fairness,n,-0.5933211516
improvement,n,-0.591891169
trust,v,-0.587431597
pledge,n,-0.5864442487
timely,a,-0.5852544976
flexible,a,-0.5808038393
steadfast,a,-0.5805429711
meaningful,a,-0.5757596012
support,n,-0.5723551884
improved,a,-0.5720465774
comprehensive,a,-0.5702805373
openness,n,-0.5678773146
transparency,n,-0.5677897477
stronger,a,-0.5666920164
workable,a,-0.566507728
sound,a,-0.5661194707
finally,r,-0.563209763
complement,n,-0.562519018
prosperous,a,-0.5603870727
comply,v,-0.5595833466
recommendation,n,-0.5577444182
step,n,-0.557636156
hope,v,-0.5570014641
comply,n,-0.5563410328
firm,a,-0.5557862938
verify,v,-0.5550692674
equal,a,-0.5542322164
expeditious,a,-0.553664324
re-establish,v,-0.5523169354
respectful,a,-0.551692611
concrete,a,-0.5500682685
improve,v,-0.5500199271
better,a,-0.549602803
able,a,-0.5483985596
sufficient,a,-0.5470034069
mechanism,n,-0.5467362093
key,a,-0.5453306198
compliant,a,-0.5453255247
viable,a,-0.5451896071
partnership,n,-0.5435224286
dependable,a,-0.5433574988
hopefully,r,-0.5419994986
reiterate,v,-0.5417193324
recognition,n,-0.5393441797
affirm,v,-0.5371745024
conformity,n,-0.5360576761
respect,v,-0.535382895
build,v,-0.5316249971
affordable,a,-0.5309645271
attain,v,-0.5259794852
ironclad,a,-0.5253487461
fulsome,a,-0.5252909439
fairer,a,-0.5240600296
deserve,v,-0.5238122468
establish,v,-0.5231748823
impartial,a,-0.5214901373
principle,n,-0.5203217523
manner,n,-0.5192838342
obtain,v,-0.5189788007
excellent,a,-0.5178504503
honourable,a,-0.5170322445
proper,a,-0.5164248369
strong,a,-0.5158429438
cooperation,n,-0.5155938782
generous,a,-0.5150791685
open,a,-0.5142084289
support,v,-0.5131485167
will,m,-0.5126102118
measure,n,-0.5121581193
strength,n,-0.5119347759
cornerstone,n,-0.5107542075
foundation,n,-0.5046079795
abide,v,-0.5034515483
rest,v,-0.5019508863
count,v,-0.500204035
accountable,a,-0.4989220874
co-operation,n,-0.4986034645
decent,a,-0.4982192305
flexibility,n,-0.4970732284
complete,a,-0.4969642867
accurate,a,-0.4962715209
allow,v,-0.4961641611
preserve,v,-0.4956030535
expect,v,-0.4940369567
guide,v,-0.493988307
vibrant,a,-0.493435569
initiative,n,-0.4929096246
keep,v,-0.4927740928
principled,a,-0.4920374916
promise,n,-0.4920210997
continuity,n,-0.4915458039
give,v,-0.4896121711
determination,n,-0.4889897873
essential,a,-0.4880555502
objective,a,-0.4863291428
need,v,-0.4860217933
welcome,v,-0.4859939858
consistency,n,-0.4854851125
approve,v,-0.4847281351
complete,v,-0.4844018027
sensible,a,-0.4843687376
common-sense,a,-0.4840086101
package,n,-0.4833716499
forthcoming,a,-0.4825268633
best,a,-0.4810768271
resolute,a,-0.4804331166
throne,n,-0.4793430378
honour,v,-0.4789719758
modernize,v,-0.4788599894
incorporate,v,-0.4773671899
collaboration,n,-0.4773352766
intend,v,-0.4754504854
importantly,r,-0.4753708999
require,v,-0.4747071695
up-to-date,a,-0.4746689358
accomplish,v,-0.4738074763
reinforce,v,-0.4736362775
safeguard,n,-0.4734986946
regain,v,-0.4727294307
prosperity,n,-0.4708525918
equality,n,-0.4704376202
non-binding,a,-0.4702894942
mandate,n,-0.468376509
safest,a,-0.468344062
strive,v,-0.4680612204
reconciliation,n,-0.4680250462
available,a,-0.4680087479
gain,v,-0.4677437166
uninterrupted,a,-0.4673067557
accommodation,n,-0.4651184824
encourage,v,-0.4637111548
low-cost,a,-0.4634234389
obligation,n,-0.4629599808
document,n,-0.461659161
committed,a,-0.4615898652
promote,v,-0.4607965982
implementation,n,-0.4600488649
foster,v,-0.4595839976
facilitate,v,-0.4592842876
tool,n,-0.4590581682
reform,n,-0.4588676389
universal,a,-0.4586748358
worthy,a,-0.4585781787
unequivocal,a,-0.4583139798
realistic,a,-0.458193878
agreement,n,-0.4580223929
footing,n,-0.4579657514
mutually,r,-0.457496072
satisfied,a,-0.4574181102
favour,n,-0.4561015269
thanks,n,-0.4559968682
amendment,n,-0.4553919524
trustworthy,a,-0.4548709826
achievement,n,-0.4520192862
perfect,a,-0.4519560176
seek,v,-0.4498892254
cost-effective,a,-0.4494154624
insist,v,-0.4485855644
revitalize,v,-0.4480601865
confirm,v,-0.4472316017
much-needed,a,-0.4471037156
bring,v,-0.4469038796
innovative,a,-0.4467734669
unconditional,a,-0.4450189301
legislative,a,-0.444295044
furnish,v,-0.4439396054
place,n,-0.4435492512
bolster,v,-0.442558889
reform,v,-0.4424570963
remain,v,-0.4422303324
authority,n,-0.4417162346
respect,n,-0.4414623035
advice,n,-0.44033026
renew,v,-0.4391351109
straightforward,a,-0.4383309325
durable,a,-0.4382618602
relevant,a,-0.4369111924
steadfastly,r,-0.4366414714
streamlined,a,-0.436443206
integrity,n,-0.4364336331
independent,a,-0.436330712
ample,a,-0.4356531663
overdue,a,-0.4355483707
kindness,n,-0.4354830501
fruition,n,-0.4346818553
final,a,-0.4344014015
conform,v,-0.4335597702
agree,v,-0.433145846
together,r,-0.4321407075
praiseworthy,a,-0.431931353
modicum,n,-0.4318689929
rule,n,-0.4315916657
guaranteeing,n,-0.4313356389
audit,n,-0.4308512556
arrangement,n,-0.4307671158
shall,m,-0.4304439738
review,n,-0.4299351394
stability,n,-0.4296766479
achievable,a,-0.4292851489
modernization,n,-0.42887902
interim,a,-0.4286313343
recommend,v,-0.4277745552
benchmark,n,-0.4262918636
review,v,-0.4254616689
tradition,n,-0.4240002126
fashion,n,-0.4238102353
none,n,-0.423447539
table,v,-0.4229532481
means,n,-0.4229469232
confidentiality,n,-0.4221724622
healing,n,-0.4215965576
participant,n,-0.4212646759
truthful,a,-0.4211673271
united,a,-0.4201998468
legislatively,r,-0.4199687532
applicable,a,-0.4184343481
assent,n,-0.4181927068
accountability,n,-0.4181871274
knowledge,n,-0.4168589279
return,n,-0.4166746319
reasonably,r,-0.4166709701
pledge,v,-0.4166074103
funding,n,-0.4154691945
formal,a,-0.414458866
expertise,n,-0.413413467
succeed,v,-0.4134036131
safer,a,-0.413360104
positive,a,-0.4123473216
vital,a,-0.4122422995
undertake,v,-0.4118984522
prepaid,a,-0.4100048421
TRUE,a,-0.4099791754
integrated,a,-0.4094985858
thank,v,-0.4085509523
honesty,n,-0.4082161221
answer,n,-0.4078861073
multilateralism,n,-0.4072465157
good,a,-0.4071234803
incentive,n,-0.4067165775
meantime,n,-0.4064269624
establishment,n,-0.4059402868
intact,a,-0.4054802875
enshrine,v,-0.4053711704
reasonable,a,-0.4042975278
suppose,v,-0.4040134615
partner,n,-0.4039718867
conclude,v,-0.4038949221
convince,v,-0.4033959728
solemn,a,-0.4031440768
honest,a,-0.4028558849
resolve,n,-0.40277054
co-operate,v,-0.402133642
date,n,-0.4010245703
understanding,n,-0.4009138005
inclusive,a,-0.4006441376
historic,a,-0.400385443
second,r,-0.4003818194
announce,v,-0.3999423486
introduce,v,-0.399677853
healthy,a,-0.3995034916
invaluable,a,-0.3993372546
must,m,-0.3991927648
investment,n,-0.3988565261
mutual,a,-0.3986179905
tangible,a,-0.3984149412
table,n,-0.3979567226
streamline,v,-0.3974726501
requisite,a,-0.3973881728
lasting,a,-0.396796781
quality,n,-0.3960222837
dignity,n,-0.3956473388
previous,a,-0.3955836339
firm,n,-0.3950480713
unwaver,v,-0.3949649777
unite,v,-0.3942674969
committee,n,-0.3942358485
meet,v,-0.3942094917
wisdom,n,-0.393740482
faith,n,-0.3935465692
supportive,a,-0.3931132811
success,n,-0.3930075034
help,v,-0.39278885
responsive,a,-0.3925722159
accord,n,-0.3918765882
sharing,n,-0.3918241163
dedication,n,-0.391160727
opportunity,n,-0.3908942122
mandate,v,-0.3904466778
top-notch,a,-0.3897042778
request,v,-0.3894854891
previously,r,-0.3887546722
unanimous,a,-0.3887099523
cabinet,n,-0.3882108635
guidance,n,-0.3871670596
