basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,speechtext,speakerparty,speakerriding,speakername,d,year,gender,bdate,age2016,party,gov,byear,age,anxclass,anxiety,conditional,past,present,future,roots,tenses,sentence
4640159,ca.proc.d.2015-05-25.16855.152,2015-05-25,4b9cf7c8-d5db-4efa-a24e-c26afde48cc3,232,"Mr. Louis Plamondon (Bas-Richelieu—Nicolet—Bécancour, BQ)",,OQ,Citizenship and Immigration,"People who want to apply for permanent residence on humanitarian and compassionate grounds have until June 1 of this year. That date was set jointly with the Government of Quebec, but only 20% of the people involved have been able to take advantage of the measures in place. That is why Quebec asked the federal government to extend the deadline, but that request has been ignored. Once again, federal neglect of humanitarian issues is putting thousands of Haitian families in Quebec in jeopardy. Will the government accommodate Quebec's request to extend the deadline until August 31, or will it respond with cold, callous bureaucracy?",Bloc Québécois,Bas-Richelieu--Nicolet--Bécancour,Louis Plamondon,2015-05-25,2015,male,1943-07-31,73,Bloc,0,1943,72,1,-0.1169117732,0,0,0,1,accommodate,Future,"Will the government accommodate Quebec's request to extend the deadline until August 31, or will it respond with cold, callous bureaucracy?"
4436562,ca.proc.d.2009-11-03.2208.162,2009-11-03,106c623c-3606-40ae-a2f6-f4a619cf02f6,152,"Hon. Jason Kenney (Minister of Citizenship, Immigration and Multiculturalism, CPC)",,OQ,Citizenship and Immigration,The tone of that question is absolutely irresponsible. Tens of thousands of Canadian businesses would go under if they did not have access to hard-working individuals who come to this country to fill jobs for which Canadians are not applying. We do not want to put Canadian businesses out of work and out of business during this difficult economic time by denying them access to hard-working individuals who are willing to contribute to the Canadian economy. This government has brought in important regulatory changes to work with the provinces and the labour ministries to ensure that the tiny number of abusive employers do not have access to this program in the future.,Conservative,Calgary Southeast,Jason Kenney,2009-11-03,2009,male,1968-05-30,48,Conservative,1,1968,41,1,-0.015329136,1,0,1,0,go,Present,Tens of thousands of Canadian businesses would go under if they did not have access to hard-working individuals who come to this country to fill jobs for which Canadians are not applying.
4464261,ca.proc.d.2010-10-04.2295.99,2010-10-04,b68ab272-2335-4f0d-9d23-2148dd90f83c,68,"Hon. Denis Coderre (Bourassa, Lib.)",,OQ,Ministerial Responsibility,"Ministerial responsibility also consists of answering questions about his department. It has been said that information is the cornerstone of a democracy and that without adequate access to key information about government policies and programs, incompetent or corrupt governance can be hidden under a cloak of secrecy. Who said that? The current Prime Minister of Canada. Will the Prime Minister heed his own words and ask for the resignation of the Minister of Natural Resources. ",Liberal,Bourassa,Denis Coderre,2010-10-04,2010,male,1963-07-25,53,Liberal,0,1963,47,1,-0.2363084025,1,1,0,0,said,Past,"It has been said that information is the cornerstone of a democracy and that without adequate access to key information about government policies and programs, incompetent or corrupt governance can be hidden under a cloak of secrecy."
4601015,ca.proc.d.2014-05-16.16162.92,2014-05-16,9f0040ba-a9d7-4aa4-b2e4-f3213a4e024f,216,"Hon. Deepak Obhrai (Parliamentary Secretary to the Minister of Foreign Affairs and for International Human Rights, CPC)",,OQ,Foreign Affairs,"The other night when we had our debate here, in which the member participated, we expressed our deep concern about the situation in the Central African Republic and the situation there. Canada has been contributing, and we will continue to contribute, to the United Nations for peacekeeping forces for the Central African Republic. I understand that the next batch of UN forces will be arriving in September, and as always, Canada has been contributing our share to United Nations peacekeeping.",Conservative,Calgary East,Deepak Obhrai,2014-05-16,2014,male,1950-07-05,66,Conservative,1,1950,64,1,0.0559636877,0,1,0,0,expressed,Past,"The other night when we had our debate here, in which the member participated, we expressed our deep concern about the situation in the Central African Republic and the situation there."
4607990,ca.proc.d.2014-06-18.16300.63,2014-06-18,63525202-2bba-4063-8092-224f751f211d,1772,"Ms. Françoise Boivin (Gatineau, NDP)",,OQ,Privacy,"The minister loves to do creative reading. The minister sees his laws being struck down and then claims somehow that he is winning. He is not fooling anyone, least of all the Supreme Court. The way the government is trying to roll back Canadians' privacy rights is not constitutional. Does the minister intend to allow bills like Bill C-4, Bill C-13, and Bill C-31 to pass into law just so they can also be struck down later, or will he respect the court's rulings and redraft these bills as even his own people are recommending?",New Democratic Party,Gatineau,Françoise Boivin,2014-06-18,2014,female,1960-06-11,56,NDP,0,1960,54,1,-0.2206514436,1,0,1,0,intend,Present,"Does the minister intend to allow bills like Bill C-4, Bill C-13, and Bill C-31 to pass into law just so they can also be struck down later, or will he respect the court's rulings and redraft these bills as even his own people are recommending?"
4245379,ca.proc.d.2003-03-28.1751.117,2003-03-28,0abdcb88-9105-41d9-8a1b-87e54e5efecb,144,"Mrs. Marlene Jennings (Parliamentary Secretary to the Solicitor General of Canada, Lib.)",,OQ,Auto Theft,"Auto car theft is a serious public safety issue that costs Canadians between $1 billion and $2 billion a year in property losses, damages, injury and even death. Particularly alarming is the involvement of our youth in auto theft. Therefore the government, working with its stakeholders, has acted. The Canadian Association of Chiefs of Police, in collaboration with the national crime prevention strategy, has developed a CD-ROM and website on youth and joy-riding which was launched on March 24, 2003.",Liberal,Notre-Dame-de-Grâce--Lachine,Marlene Jennings,2003-03-28,2003,female,1951-11-10,65,Liberal,1,1951,52,1,0.2270154696,0,0,1,0,is,Present,Particularly alarming is the involvement of our youth in auto theft.
4277386,ca.proc.d.2004-05-10.1667.67,2004-05-10,6f01152f-cb24-42c1-957d-e494d896206d,2677,"Hon. Jacques Saada (Leader of the Government in the House of Commons and Minister responsible for Democratic Reform, Lib.)",,OQ,Sponsorship Program,"Charles Guité was arrested this morning on evidence the RCMP saw fit to use. The rest is nothing but gratuitous and totally unfounded allegations, which are part of a vast and totally pointless political dragnet. Frankly, I believe that the Canadian public will be better served by waiting for a progress report from the committee than by listening to allegations of this kind.",Liberal,Brossard--La Prairie,Jacques Saada,2004-05-10,2004,male,1947-11-22,69,Liberal,1,1947,57,1,-0.1715014007,0,0,1,0,believe,Present,"Frankly, I believe that the Canadian public will be better served by waiting for a progress report from the committee than by listening to allegations of this kind."
4214259,ca.proc.d.2002-04-24.2001.21,2002-04-24,10ed8e96-0925-4e31-8bbb-c3da002050cf,3164,"Mr. John Reynolds (Leader of the Opposition, Canadian Alliance)",,OQ,National Defence,"We still do not have an answer whether there was an independent surveyor, which should have been done. The minister has failed to replace the Sea Kings. A billion dollars wasted and not a helicopter has been ordered yet. The clothe the soldier program is far over budget and delayed by three years. A $174 million went into a satellite system that is still in storage. We have a destroyer sitting in mothballs in British Columbia only a few years after it received a multimillion dollar refit. The list goes on and on. Now we have submarines that have a problem and he cannot tell us whether there was an independent survey. When will the minister admit that he does not have control of his department?",Canadian Alliance,West Vancouver--Sunshine Coast,John Reynolds,2002-04-24,2002,male,1942-01-19,74,Conservative,0,1942,60,1,-0.1434436786,0,0,0,1,admit,Future,When will the minister admit that he does not have control of his department?
4011703,ca.proc.d.1995-10-30.1263.72,1995-10-30,89a3a31f-0192-45f6-8237-b98552bf1155,6729,"Mr. Herb Grubel (Capilano-Howe Sound, Ref.)",,OQ,The Economy,"Whatever the outcome of the referendum today, Canada's deficit crisis remains. The difference between the government's spending and revenues is nearly $100 million every 24 hours of every week, of every month, at least for this year. Can the Minister of Finance assure the people of Canada that whatever the outcome of the referendum, he has decisive plans for the prompt elimination of the deficit?",Reform,Capilano--Howe Sound,Herb Grubel,1995-10-30,1995,male,1934-02-26,82,Conservative,0,1934,61,1,-0.2134973131,1,0,1,0,assure,Present,"Can the Minister of Finance assure the people of Canada that whatever the outcome of the referendum, he has decisive plans for the prompt elimination of the deficit?"
4641018,ca.proc.d.2015-05-27.16857.68,2015-05-27,013eb624-68a5-402e-ac65-6ff6062ad8b9,8642,"Ms. Laurin Liu (Rivière-des-Mille-Îles, NDP)",,OQ,Natural Resources,"The Conservatives lack vision and are not fit to build the economy of tomorrow. According to Analytica Advisors, the Canadian clean technology industry is losing market share, dropping from 14th to 19th place in the world. That is because of the government's lack of political will and lack of investment in innovative technologies. Why is the government asleep at the switch when it comes to supporting the green technology sector?",New Democratic Party,Rivière-des-Mille-Îles,Laurin Liu,2015-05-27,2015,female,,,NDP,0,,,1,-0.0952979893,0,0,1,0,lack,Present,The Conservatives lack vision and are not fit to build the economy of tomorrow.
4225514,ca.proc.d.2002-10-07.1677.94,2002-10-07,eb53bf99-e3d5-44b9-a15e-6c295470cdd4,270,"Mr. Kevin Sorenson (Crowfoot, Canadian Alliance)",,OQ,Government Contracts,"My question is for the Solicitor General. Why was the $140,000 contract not signed directly by David Nicholson if, as the Solicitor General professes, this individual's qualifications were so outstanding?",Canadian Alliance,Crowfoot,Kevin Sorenson,2002-10-07,2002,male,1958-11-03,58,Conservative,0,1958,44,1,-0.0738593946,1,0,1,0,signed,Present,"Why was the $140,000 contract not signed directly by David Nicholson if, as the Solicitor General professes, this individual's qualifications were so outstanding?"
4344303,ca.proc.d.2006-11-20.242.82,2006-11-20,d0b880b9-7e70-4d0c-b6aa-25322ff576b1,124,"Hon. Bill Graham (Leader of the Opposition, Lib.)",,OQ,Foreign Affairs,"I hope they do not applaud what the Prime Minister failed to achieve. Let us save the applause until we see some concrete results. In fact, the meeting failed to achieve anything. The Prime Minister takes credit for a technology agreement with China but that agreement was signed last year by his Liberal predecessor, the member for LaSalle—Émard. Why did the Prime Minister fail to obtain the foreign investment agreement with China that he was out there to get? Why did he fail to achieve the tourism agreement that he was supposed to get? Since he is so boastful about his success, why did the Prime Minister score a big fat zero on human rights, foreign investment and tourism for the people of Canada and then boast about it?",Liberal,Toronto Centre,Bill Graham,2006-11-20,2006,male,1939-03-17,77,Liberal,0,1939,67,1,-0.064942618,0,1,0,0,score,Past,"Since he is so boastful about his success, why did the Prime Minister score a big fat zero on human rights, foreign investment and tourism for the people of Canada and then boast about it?"
4586753,ca.proc.d.2014-02-04.15802.193,2014-02-04,e6d671ec-9039-4ed6-bd6f-cca3ddd257e1,8790,"Mr. Ted Hsu (Kingston and the Islands, Lib.)",,OQ,Consumer Protection,"According to the NEB, last year from January to March eastern Canada propane storage dropped by 340 million litres, but only 330 million litres were in storage this January. With states throughout the U.S. competing for tight propane supplies, this is an international issue and a federal responsibility. If winter stays cold and the propane inventory runs dangerously low, what will the minister do beyond “...asking the National Energy Board and Competition Bureau to review propane market issues...”? How will he protect rural Canadians who heat with propane?",Liberal,Kingston and the Islands,Ted Hsu,2014-02-04,2014,male,1964-03-04,52,Liberal,0,1964,50,1,-0.0454788465,0,1,0,0,were,Past,"According to the NEB, last year from January to March eastern Canada propane storage dropped by 340 million litres, but only 330 million litres were in storage this January."
3980175,ca.proc.d.1994-11-21.1139.116,1994-11-21,2aa8c3e9-f46e-4c78-b9ff-04bec0ed5050,5241,"Right Hon. Jean Chrétien (Prime Minister, Lib.)",,OQ,Members Of Parliament Retiring Allowances Act,"I have to smile, because some of these members were grandstanding when they offered to cut their pay by 10 per cent. Now they say that they have not received any credit for that so they will stop. I think they are just grandstanding again. The people of Canada understand that that party has been a complete failure since the election.",Liberal,Saint-Maurice,Jean Chrétien,1994-11-21,1994,male,1934-01-11,82,Liberal,1,1934,60,1,-0.145095509,0,0,1,0,understand,Present,The people of Canada understand that that party has been a complete failure since the election.
4152734,ca.proc.d.2000-03-22.2103.107,2000-03-22,a82c95f2-0b81-4fa7-8e0e-ab0b10294635,4533,"Hon. Sheila Copps (Minister of Canadian Heritage, Lib.)",,OQ,National Parks,"I think the honourable member is speaking of the report that will be released by Mr. Jacques Gérin tomorrow. I think the report will have some very pertinent information for the government in terms of ensuring the ecological integrity of the park system. I know, because of the strong support that the budget gave to the whole issue of the environment, it is very important that ecological integrity be included at the top of the issue of parks. Those will hopefully be the points made in Mr. Gérin's report tomorrow, which I know will be supported by all members of the House.",Liberal,Hamilton East,Sheila Copps,2000-03-22,2000,female,1952-11-27,64,Liberal,1,1952,48,1,-0.2682192024,0,0,0,1,be,Future,"Those will hopefully be the points made in Mr. Gérin's report tomorrow, which I know will be supported by all members of the House."
3988441,ca.proc.d.1995-02-27.1172.75,1995-02-27,9ec9b873-a96e-474e-9dda-5ebeb50ba35f,116,"Mr. Michel Gauthier (Roberval, BQ)",,OQ,National Defence,"A study conducted by a National Defence researcher shows that Quebec and Western Canada are largely disadvantaged in the distribution of defence expenditures. In Quebec in particular, the shortfall is at least $650 million per year. How can the minister of defence explain that, with only 3 per cent of the population of Canada, Nova Scotia alone has more military personnel and as many civilian employees as Quebec, which is eight times bigger?",Bloc Québécois,Roberval,Michel Gauthier,1995-02-27,1995,male,1950-02-18,66,Bloc,0,1950,45,1,-0.0951757513,1,0,1,0,can,Present,"How can the minister of defence explain that, with only 3 per cent of the population of Canada, Nova Scotia alone has more military personnel and as many civilian employees as Quebec, which is eight times bigger?"
4233569,ca.proc.d.2002-12-04.1709.41,2002-12-04,1a1a9dee-c228-40fc-b926-42f8441d84f0,121,"Hon. Ralph Goodale (Minister of Public Works and Government Services, Minister responsible for the Canadian Wheat Board and Federal Interlocutor for Métis and Non-Status Indians, Lib.)",,OQ,Government Contracts,"The honourable gentleman has been rather vague in specifying the exact contract that he is looking at, but if it is indeed the same contract about which he and other members of his party asked questions earlier in the year, I can provide him with the same information, and that is that those relationships were in fact terminated and, where appropriate, we are seeking to recover the money.",Liberal,Wascana,Ralph Goodale,2002-12-04,2002,male,1949-10-05,67,Liberal,1,1949,53,1,-0.2116659586,1,0,1,0,been,Present,"The honourable gentleman has been rather vague in specifying the exact contract that he is looking at, but if it is indeed the same contract about which he and other members of his party asked questions earlier in the year, I can provide him with the same information, and that is that those relationships were in fact terminated and, where appropriate, we are seeking to recover the money."
4554664,ca.proc.d.2013-02-15.15035.78,2013-02-15,a25e0e6b-f3fa-46c7-a795-ad60037fe56e,176,"Hon. Lawrence MacAulay (Cardigan, Lib.)",,OQ,Fisheries and Oceans,"For the scientists who are left at DFO after the government's fire sale, morale is at rock bottom. The department is in tatters, and stress and uncertainty are far too common. The timeline to implement the destructive Fisheries Act changes keeps getting pushed back because the staff is simply not equipped to deal with the government's agenda. Will the government finally learn its lesson and reverse this destructive agenda?",Liberal,Cardigan,Lawrence MacAulay,2013-02-15,2013,male,1946-09-09,70,Liberal,0,1946,67,1,-0.0849705553,0,0,0,1,learn,Future,Will the government finally learn its lesson and reverse this destructive agenda?
4373563,ca.proc.d.2007-10-30.347.149,2007-10-30,b8338fd5-94de-48ce-971f-e4fc26d1575f,301,"Ms. Judy Wasylycia-Leis (Winnipeg North, NDP)",,OQ,Health,The Competition Bureau says that today's families are paying too much for generic prescription drugs. Canada spends more on prescription drugs than on doctors. The Conservatives are moving in the wrong direction: they do not have a plan for cheaper prescription drugs. When will they decide to support bulk purchases of prescription drugs? When will they help families save money at the pharmacy?,New Democratic Party,Winnipeg North,Judy Wasylycia-Leis,2007-10-30,2007,female,1951-08-10,65,NDP,0,1951,56,1,-0.0733594497,0,0,1,0,moving,Present,The Conservatives are moving in the wrong direction: they do not have a plan for cheaper prescription drugs.
4426613,ca.proc.d.2009-06-10.622.40,2009-06-10,878c4a88-aa8e-4e9a-961f-3829672d4dc0,165,"Hon. Jack Layton (Toronto—Danforth, NDP)",,OQ,The Environment,"After being caught on tape calling the Minister of Health incompetent in the isotopes affair, the Minister of Natural Resources has also said that the Minister of the Environment is pandering to the oil sands. That explains the minister's failure to act in this file. Can the Minister of Natural Resources confirm her statements? Is the Minister of the Environment in fact pandering to the oil sands?",New Democratic Party,Toronto--Danforth,Jack Layton,2009-06-10,2009,male,1950-07-18,66,NDP,0,1950,59,1,-0.039072224,0,0,1,0,is,Present,Is the Minister of the Environment in fact pandering to the oil sands?
4260684,ca.proc.d.2003-10-20.1810.157,2003-10-20,10ed8e96-0925-4e31-8bbb-c3da002050cf,3164,"Mr. John Reynolds (West Vancouver—Sunshine Coast, Canadian Alliance)",,OQ,Disaster Assistance,"My riding in British Columbia has suffered loss of life and millions in damage due to flooding. Liberal neglect, indifference and refusal to allow dredging of rivers, streams and creeks that are now in flood gets much of the blame. The mayor of Pemberton just told me they need help now to open the Hurley Road. They need help now to build Bailey bridges. They need help now to carry people to safety and food to those who are in need. Is the military on standby orders for emergency disaster relief efforts in British Columbia?",Canadian Alliance,West Vancouver--Sunshine Coast,John Reynolds,2003-10-20,2003,male,1942-01-19,74,Conservative,0,1942,61,1,-0.260730047,0,0,1,0,need,Present,They need help now to carry people to safety and food to those who are in need.
4445076,ca.proc.d.2010-03-15.2177.104,2010-03-15,d2983554-c9a0-4e21-9065-aa9105f9510a,53,"Mr. Serge Cardin (Sherbrooke, BQ)",,OQ,Telecommunications,"By overturning the CRTC's decision and issuing a licence to the Egyptian company Globalive, the government has started deregulating the telecommunications sector without consulting parliamentarians. Will the government stop deregulating telecommunications ownership until the Standing Committee on Industry, Science and Technology can examine the issue?",Bloc Québécois,Sherbrooke,Serge Cardin,2010-03-15,2010,male,1950-07-02,66,Bloc,0,1950,60,1,-0.1364123854,0,0,1,0,started,Present,"By overturning the CRTC's decision and issuing a licence to the Egyptian company Globalive, the government has started deregulating the telecommunications sector without consulting parliamentarians."
4342517,ca.proc.d.2006-11-03.236.112,2006-11-03,c8697d30-cfba-4c08-82e3-cb65db980f86,79,"Mr. Jean-Claude D'Amours (Madawaska—Restigouche, Lib.)",,OQ,Fisheries and Oceans,"Consultations have gone on long enough. We must act now if we want to save the industry. The Worm and Myers report was very clear. Fish and shellfish stocks are declining daily. These stocks are the Atlantic region's bread and butter. The only way to protect the fishery is to act immediately, which is what the rest of the international community is doing. Will the minister finally recognize that we have to ban bottom trawling once and for all?",Liberal,Madawaska--Restigouche,Jean-Claude D'Amours,2006-11-03,2006,male,1972-12-19,44,Liberal,0,1972,34,1,-0.2679380596,0,0,0,1,recognize,Future,Will the minister finally recognize that we have to ban bottom trawling once and for all?
3962802,ca.proc.d.1994-04-14.1057.103,1994-04-14,2aa8c3e9-f46e-4c78-b9ff-04bec0ed5050,5241,Right Hon. Jean Chrétien (Prime Minister),,OQ,Employment,"Our government has been in office for five months and the trend is improving. Last month, unemployment was down 0.8 per cent in Quebec. That is not good enough. More improvement is needed. Nevertheless, we are making progress. We must stay this course and that is why we are trying to introduce job creation programs. Such a high level of unemployment throughout the country is unacceptable and certainly no cause for celebration. We must never stop working to reduce unemployment. Unfortunately, the rate will not fall overnight. However, the outlook is very good and we must work doubly hard to ensure that we obtain ever better results in the years to come. I am confident that the situation will improve within a few months' time.",Liberal,Saint-Maurice,Jean Chrétien,1994-04-14,1994,male,1934-01-11,82,Liberal,1,1934,60,1,-0.2216315567,1,0,1,0,stay,Present,We must stay this course and that is why we are trying to introduce job creation programs.
4426467,ca.proc.d.2009-06-09.621.175,2009-06-09,33f01de6-a8a5-46e8-9841-ddd44ed8ee73,224,"Mr. Bernard Patry (Pierrefonds—Dollard, Lib.)",,OQ,Medical Isotopes,"People across Quebec who are awaiting nuclear diagnostic testing for cancer and other serious illnesses are already terribly worried. As a doctor, I have seen the fear in their eyes; I understand their apprehensions and share their concerns. Does this government have enough compassion and empathy to realize that we are talking about the fate of hundreds of Quebeckers and Canadians who deserve to be cared for quickly?",Liberal,Pierrefonds--Dollard,Bernard Patry,2009-06-09,2009,male,1943-01-30,73,Liberal,0,1943,66,1,0.1976592144,0,0,1,0,are,Present,People across Quebec who are awaiting nuclear diagnostic testing for cancer and other serious illnesses are already terribly worried.
4432495,ca.proc.d.2009-10-06.2193.204,2009-10-06,19ce2b35-fc4f-4bde-934a-03c9133b3ed6,419,"Mrs. Claude DeBellefeuille (Beauharnois—Salaberry, BQ)",,OQ,Post-secondary Education,"Federal assistance to students in the rest of Canada has not improved access to post-secondary education nor curbed debt. For its part, Quebec decided to put in place a student aid system based on need. The federal government insists on imposing its new grant program on Quebec, which is asking for the right to opt out with full compensation and no strings attached. Why is the government refusing to allow Quebec to opt out and better assist the poorest students?",Bloc Québécois,Beauharnois--Salaberry,Claude DeBellefeuille,2009-10-06,2009,female,1963-12-13,53,Bloc,0,1963,46,1,-0.223250327,0,0,1,0,refusing,Present,Why is the government refusing to allow Quebec to opt out and better assist the poorest students?
4454859,ca.proc.d.2010-05-11.2263.152,2010-05-11,878c4a88-aa8e-4e9a-961f-3829672d4dc0,165,"Hon. Jack Layton (Toronto—Danforth, NDP)",,OQ,The Environment,"With regard to the risks of an oil spill in Canada, can the Prime Minister tell us what action the government has taken since the oil rig explosion in the Gulf of Mexico? What have they done to strengthen Canadian rules and standards? What have they done to reassess the risks? Or is the government going to say that everything is all right and that, despite the disaster, it will never happen in Canada?",New Democratic Party,Toronto--Danforth,Jack Layton,2010-05-11,2010,male,1950-07-18,66,NDP,0,1950,60,1,-0.1345526014,0,0,1,0,is,Present,"Or is the government going to say that everything is all right and that, despite the disaster, it will never happen in Canada?"
4018769,ca.proc.d.1996-03-01.1295.56,1996-03-01,257bc38c-e117-41ca-9cb9-05df49d20044,5258,"Mr. Pierre Brien (Témiscamingue, BQ)",,OQ,Haitian National Police Force,"Will the minister assure us that Canada's contribution will not be overlooked by the Haitian government, and could he tell us what benefit he plans to derive from the money invested in the training of these police officers pending their integration into the Haitian police force?",Bloc Québécois,Témiscamingue,Pierre Brien,1996-03-01,1996,male,1970-06-22,46,Bloc,0,1970,26,1,-0.1757241738,1,0,0,1,assure,Future,"Will the minister assure us that Canada's contribution will not be overlooked by the Haitian government, and could he tell us what benefit he plans to derive from the money invested in the training of these police officers pending their integration into the Haitian police force?"
3958556,ca.proc.d.1994-02-24.1037.167,1994-02-24,99fe4f4b-b5b4-4f70-b3a0-f66f24350743,4464,Hon. David Michael Collenette (Minister of National Defence and Minister of Veterans Affairs),,OQ,National Defence,"I answered a similar question in the House a few weeks ago. We cut in such a way as to deal with the surplus capacity, the excess infrastructure, so as not to prejudice the outcome of a defence review. I regret that many installations were deemed surplus after an exhaustive review by our officials and thorough costing was done. In fact one in the honourable member's constituency has been severely hurt and I do regret that. We are trying to work with him and the other members affected to see if mitigative measures can be put in place to help those local communities replace some of the economic activity that has been lost.",Liberal,Don Valley East,David Collenette,1994-02-24,1994,male,1946-06-24,70,Liberal,1,1946,48,1,-0.1081936986,0,0,1,0,regret,Present,I regret that many installations were deemed surplus after an exhaustive review by our officials and thorough costing was done.
4495285,ca.proc.d.2011-10-18.2400.152,2011-10-18,000a129f-5449-40ed-94d2-7e21a262b0b1,8528,"Mrs. Nycole Turmel (Leader of the Opposition, NDP)",,OQ,The Economy,"In the past 10 years, more than 30% of economic gains went to 1% of the population, the wealthiest people. That is the result of the fiscal policies adopted by the Conservatives, and the Liberals before them. The middle class is becoming poorer, fewer people are working, the gap between rich and poor is widening, and profitable big business is receiving billions of dollars in tax cuts. Is the Prime Minister aware of the inequality he is creating in the country?",New Democratic Party,Hull--Aylmer,Nycole Turmel,2011-10-18,2011,female,1942-09-01,74,NDP,0,1942,69,1,-0.0213091037,0,0,1,0,becoming,Present,"The middle class is becoming poorer, fewer people are working, the gap between rich and poor is widening, and profitable big business is receiving billions of dollars in tax cuts."
4271855,ca.proc.d.2004-03-25.1645.177,2004-03-25,0d931d45-6a50-4119-9243-ce2961f43841,2502,"Hon. Andy Mitchell (Minister of Indian Affairs and Northern Development, Lib.)",,OQ,Government Contracts,"The Prime Minister is keeping his word. May I suggest that rather than the honourable opposition member worrying about political affiliation with somebody, he worry about whether somebody is competent, because that should be the measure. This individual is competent and that is why he has the job.",Liberal,Parry Sound--Muskoka,Andy Mitchell,2004-03-25,2004,male,1953-04-21,63,Liberal,1,1953,51,1,0.0261480639,1,0,1,0,suggest,Present,"May I suggest that rather than the honourable opposition member worrying about political affiliation with somebody, he worry about whether somebody is competent, because that should be the measure."
4391404,ca.proc.d.2008-04-07.410.99,2008-04-07,6c68da58-bafc-4a4f-b39e-8cd226e21c57,261,"Mr. Bill Siksay (Burnaby—Douglas, NDP)",,OQ,Human Rights,"Gay and lesbian Canadians know that Conservatives have never supported our full equality. We fear the attitude in question shows their true colours. The Prime Minister could show leadership. He could add gender identity and expression to the Human Rights Act, overturn an organ donation policy rooted in the fears of the 1990s, adopt and promote the Montreal and Yogyakarta declarations on GLBT rights and restore the court challenges program. More than words, what action will the Prime Minister take to show that such views are not the position of the Conservative government? ",New Democratic Party,Burnaby--Douglas,Bill Siksay,2008-04-07,2008,male,1955-03-11,61,NDP,0,1955,53,1,0.1369223276,0,0,1,0,fear,Present,We fear the attitude in question shows their true colours.
